Date,Open,Max,Min,Close,"Trading Volume, USD","Market Capitalization, USD"
05.05.2004,643.43,646.66,636.38,636.38,17070685,1.62658E+11
06.05.2004,638.77,640.03,632.77,633.05,12407763,1.61804E+11
07.05.2004,621.01,621.01,601.13,601.13,20753378,1.53647E+11
11.05.2004,581.01,581.33,573.65,576.63,29490603,1.47384E+11
12.05.2004,589.77,592.63,587.28,589.57,23738481,1.50691E+11
13.05.2004,597.27,606.09,595.68,595.68,17977253,1.52253E+11
14.05.2004,596.82,596.87,589.45,596.87,19525928,1.52558E+11
17.05.2004,593.08,616.24,593.08,616.24,32497215,1.57509E+11
18.05.2004,621.89,622.39,616.85,619.8,27567254,1.58418E+11
19.05.2004,616.22,635.21,616.22,635.21,26867571,1.62357E+11
20.05.2004,633.24,634.58,628.96,630.97,20450847,1.61274E+11
21.05.2004,625.35,629.67,624.89,627.12,28923021,1.6029E+11
24.05.2004,625.09,632.48,625.09,632.48,15341195,1.61659E+11
25.05.2004,633.23,633.23,619.08,619.08,22179547,1.58236E+11
26.05.2004,618.97,629.99,617.38,629.99,25600522,1.61024E+11
27.05.2004,629.07,629.07,613.52,613.52,24450469,1.56814E+11
28.05.2004,604.68,604.68,583.17,583.17,36241451,1.49056E+11
31.05.2004,581.47,581.47,578.91,581.07,18280134,1.4852E+11
01.06.2004,582.6,582.6,555.45,557.45,26916426,1.42481E+11
02.06.2004,552.01,568.2,552.01,568.2,20813790,1.45235E+11
03.06.2004,575.88,575.88,563.88,570.61,18707984,1.45852E+11
04.06.2004,575.13,578.91,567.49,567.49,32700120,1.45055E+11
07.06.2004,573.44,576.27,572.58,576.27,24444480,1.47298E+11
08.06.2004,578.73,590.25,578.3,586.08,25331242,1.49806E+11
09.06.2004,596.39,596.39,588.13,589.7,16761556,1.50732E+11
10.06.2004,580.01,580.01,566.4,571.67,18494626,1.46123E+11
11.06.2004,570.48,570.48,564.7,566.83,15855136,1.44885E+11
15.06.2004,559.86,559.86,538.4,542.57,26463801,1.38684E+11
16.06.2004,530.61,534.4,528.73,533.26,17766019,1.36305E+11
17.06.2004,546.29,587.1,543.29,587.1,43163172,1.50066E+11
18.06.2004,597.27,601.74,595.02,600.86,43367697,1.53583E+11
21.06.2004,614.07,620.28,614.07,618.36,21163177,1.58057E+11
22.06.2004,613.06,613.06,609.18,609.27,11255133,1.55734E+11
23.06.2004,606.31,606.31,601.68,603.13,12718122,1.50098E+11
24.06.2004,598.92,603.85,598.92,601.09,26478036,1.49592E+11
25.06.2004,600.58,600.58,597.58,599.97,26322951,1.49313E+11
28.06.2004,598.21,598.21,587.8,589.9,15698311,1.46806E+11
29.06.2004,585.21,585.21,574.16,576.23,19670718,1.43404E+11
30.06.2004,577.82,584.63,577.82,583.32,17972900,1.45168E+11
01.07.2004,590.17,596.55,585.15,585.15,12410677,47116739209
02.07.2004,564.97,566.71,563.15,566.45,16280221,45610714499
05.07.2004,558.36,562.76,558.36,560.1,20907485,45099791148
06.07.2004,569.68,577.01,562.86,564.86,17622237,45483202520
07.07.2004,572.5,575.93,567.98,572.34,25537834,46085675699
08.07.2004,574.33,579.17,573.9,573.9,21257411,46211072552
09.07.2004,571.38,572.03,567.98,567.98,11497005,45734579242
12.07.2004,568.68,574.32,568.32,574.32,5729587,46244802257
13.07.2004,581.9,590.28,581.9,590.28,10640925,47530239401
14.07.2004,591.14,591.21,588.15,588.67,12690291,47400425793
15.07.2004,591.73,593.74,591.54,593.74,13846074,47808760611
16.07.2004,592.56,593.56,592.28,592.28,7634690,47690768608
19.07.2004,594.25,604.13,594.25,604.13,9886807,48644837623
20.07.2004,604.94,606.88,584.03,585.1,26839507,47112491006
21.07.2004,583.73,583.99,574.66,575.7,15077210,46355866834
22.07.2004,565.59,565.59,553.79,553.79,28810254,44591333854
23.07.2004,564.92,567.05,564.92,565.77,17453418,45556363660
26.07.2004,569.41,571.81,555.13,555.13,8675948,44699633746
27.07.2004,553.79,555.59,550.09,550.56,16109565,44331900586
28.07.2004,549.33,549.33,518.15,518.15,32482899,41722050348
29.07.2004,525.42,531.62,525.42,526.64,16972912,42405458229
30.07.2004,531.43,540.27,531.43,540.27,19883520,43502666324
02.08.2004,546.22,548.15,545.61,545.81,9084012,43948873653
03.08.2004,545.6,547.12,544.39,545.52,16238371,43925813249
04.08.2004,543.32,548.44,543.28,547.1,11764653,44052973526
05.08.2004,550.48,555.44,548.2,548.2,19786782,44141849192
06.08.2004,540.64,540.95,535.34,539.05,13503728,43404842755
09.08.2004,546.28,550.76,545.9,550.46,5839508,44323624436
10.08.2004,544.16,544.48,542.74,544.48,5658856,43841640759
11.08.2004,543.18,543.18,536.65,537.05,8031790,43243433106
12.08.2004,535.26,539.01,533.25,539.01,10451128,43401282236
13.08.2004,541.68,555.37,541.68,555.37,23243709,44719106028
16.08.2004,555.59,558.79,552.28,558.64,18950853,44982529310
17.08.2004,560.87,564.18,560.67,560.67,11550145,45145430375
18.08.2004,562.29,562.29,546.11,546.11,12957717,43973006502
19.08.2004,546.34,548.5,543.73,547.69,13111961,44100248424
